Phase_1,Phase_2,Phase_3,B-cell,Rituximab,Cyclophosphamide,Mycophenolate,Mofetil,Gemcitabine,Bortezomib,R-CHOP,R-DHAP,JCAR017,inhibitor,MK2206,acid,text_lsa_title_0,text_lsa_loc_0,text_lsa_title_1,text_lsa_loc_1,text_lsa_title_2,text_lsa_loc_2,text_lsa_title_3,text_lsa_loc_3,text_lsa_title_4,text_lsa_loc_4,text_lsa_title_5,text_lsa_loc_5,text_lsa_title_6,text_lsa_loc_6,text_lsa_title_7,text_lsa_loc_7,text_lsa_title_8,text_lsa_loc_8,text_lsa_title_9,text_lsa_loc_9,KMeans_24_clust
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14726105209257276,0.06858989871008764,-0.07934722037097072,7.131757322939318e-06,-0.1154745483614022,0.13285276139757354,0.3259198067671787,0.16616858959393002,0.5056541267977461,-0.007031400490133068,0.2980234616890276,-0.022543195958785508,0.10105275311323461,-0.014232622748155949,-0.13804795937384146,-0.09352144914634233,0.06204307555249997,-0.04573381061678988,-0.14670914576992414,-0.0008645506653896485,3
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25307055117251437,0.04909801467831915,-0.04436020944243702,9.291877795448983e-06,-0.1278384547321311,0.12573102135696967,0.28015768121211343,0.15208926734078326,0.3617731974789764,-0.014242400275340086,0.2803592796285004,-0.017521362632089813,0.06712701525663563,0.005237158404997006,-0.14273657614868426,-0.03915486369534599,0.043506146651791575,-0.0034152024256163056,-0.09767250821398624,0.014187897028160227,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18208081184450894,0.09591815248993081,-0.05056148122218027,2.01281724198102e-05,-0.012933697810056573,0.3163379162436432,-0.04439301885979889,0.39917416893411284,-0.004518930888865261,-0.053798980843462955,0.01604381553395307,-0.07436245538364328,-0.04318371624728468,-0.014371857030100785,-0.016989912014481388,-0.21679765418745442,-0.11040859506252243,-0.06902842607130137,-0.06048308544637802,-0.06767381869167122,19
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3424692736350111,0.07416383700227672,-0.21705833869462013,7.658303594116301e-06,-0.20815124924798867,0.16871811456552963,0.04433433251527391,0.2157813666521069,0.1696857853605267,-0.006078390887235251,0.30527581915999674,-0.03058874660791604,-0.11709751598276423,-0.011598381610363697,-0.07030016637395843,-0.11177441269570956,0.082878725729254,-0.044036279316185714,-0.025707398997615902,0.01545365248650788,3
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2902162561447501,0.15726776596940226,-0.20013638295265104,1.4339359189655039e-05,-0.08657365940019604,0.263865783011441,-0.17733351721691074,0.33571346553932657,0.03116217370197757,-0.0591342601393312,0.12212468430552427,-0.0639950737521036,-0.07984520737317814,-0.0011613118643612251,-0.04579158764121999,-0.03963979064836074,0.07039994146686566,0.019902201841095014,-0.012326874529997013,-0.03790381273963705,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3216527401133594,0.16994721513747146,0.011568615566443202,1.4161606262388301e-05,-0.23524382542444613,0.3605138779119929,0.5169943893597809,0.48781873315232854,0.29396540539281096,-0.010696234700203604,0.2917658550837925,-0.08313547092253425,0.019810858718420886,-0.024596594655424645,-0.1354898614675675,-0.28010417687766526,-0.06443299613598921,-0.131315347620216,-0.015339282118411526,-0.15215168066261744,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2497634240315409,8.72966968392566e-05,-0.20523635109808597,0.9999999910834958,-0.13678048618609687,-6.528964233585671e-05,-0.16304206659907006,-3.172990270376759e-05,0.00192977105866623,1.698437967309807e-05,0.12163697136675457,-2.8998376497152762e-05,-0.05880675216732126,9.727379305236949e-06,-0.01755083107354677,-4.560959748757979e-06,-0.06306674522917066,-7.256825670727376e-06,-0.010940569787529974,-1.1827367372269428e-05,15
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25743323624203307,0.0555901644057135,-0.05015609226687214,8.624288588409806e-07,-0.09881689305602835,0.5102124508594718,0.08833670457448804,-0.461540485327189,-0.10533471287247294,0.21665148278605886,-0.014920628288360509,-0.23365013216201397,0.09723214637003195,-0.018440475987615487,0.021812319330867833,0.00797047266091227,-0.1293753961165495,-0.022106727428983355,0.015193987941583534,-0.1212181269600221,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1466488072714583,0.17307908423293136,-0.0586957921723268,-1.816206944447731e-06,0.15041990582384787,0.1385459625580928,0.073470750548708,0.20138351978824784,-0.023720077685477917,0.0032608111642691215,-0.028064182865939695,-0.01842295530892557,-0.08288528327505684,0.06134868774550698,-0.0054690692375841034,0.4055891750658397,-0.015037509774095782,0.6144601595565519,-0.11243994534658971,-0.06161844835606489,22
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.17481694362388497,0.09559737646879106,-0.18270910538107127,-7.102563182331581e-06,0.07566020627345117,0.06274822087115359,0.003982400593085829,-0.021093714624995354,-0.009719160897583708,-0.06460051391375406,-0.034658445226698045,0.060951410890180226,0.053677544120347295,0.03213542683337367,0.13338906801770412,0.001741281806311144,-0.07853857585948779,-0.06871737560758763,-0.0886585755176635,0.37422909888670775,0
